date,myr_usd,myr_rmb,myr_sgd,myr_eur,myr_jpy,myr_twd,myr_thb,myr_idr,myr_hkd,myr_krw,myr_vnd,myr_inr,myr_aud,myr_php,myr_aed,myr_sar,myr_try,myr_gbp,myr_brl,myr_mxn,myr_bdt,myr_chf,myr_cad,myr_rub
2020-01-23,0.2461477816,1.699822786,0.3318564302,0.2218259151,27.009303,7.364495632,7.476984879,3354.104862,1.91278974,286.4495531,5703.490248,17.49571716,0.3597080518,12.5498448,0.9039038749,0.9222401447,1.457111199,0.1872593886,1.029217759,4.603064644,20.46590765,0.2381233675,0.3234135688,15.23113202
2020-01-24,0.2455795705,1.703241621,0.3317288931,0.2221390044,26.90373359,7.36124772,7.490176901,3342.138661,1.908718039,286.7387006,5690.324229,17.51498034,0.3590447126,12.51841823,0.9017436334,0.9201564335,1.456090432,0.1871807481,1.02384574,4.604420685,20.4492545,0.2380893949,0.3223723104,15.19960709
2020-01-25,0.2455795705,1.703241621,0.3317288931,0.2221390044,26.90373359,7.36124772,7.490176901,3342.138661,1.908718039,286.7387006,5690.324229,17.51498034,0.3590447126,12.51841823,0.9017436334,0.9201564335,1.456090432,0.1871807481,1.02384574,4.604420685,20.4492545,0.2380893949,0.3223723104,15.19960709
2020-01-26,0.2455795705,1.703241621,0.3317288931,0.2221390044,26.90373359,7.36124772,7.490176901,3342.138661,1.908718039,286.7387006,5690.324229,17.51498034,0.3590447126,12.51841823,0.9017436334,0.9201564335,1.456090432,0.1871807481,1.02384574,4.604420685,20.4492545,0.2380893949,0.3223723104,15.19960709
2020-01-27,0.2461235374,1.707039004,0.3333398703,0.2232340497,26.7787336,7.388628706,7.539502179,3374.839456,1.913472628,287.7553398,5702.928486,17.55476056,0.3618459108,12.48584694,0.903925634,0.9232586039,1.463150252,0.188429722,1.023750884,4.642505037,20.48622048,0.2387250655,0.3238739551,15.29190163
2020-01-28,0.2460327297,1.706409189,0.3339968111,0.2232648546,26.79788447,7.404354833,7.555419008,3250.889564,1.913421164,289.5140893,5700.824381,17.57657881,0.3638622219,12.51027214,0.9034813814,0.9218774768,1.462123317,0.1883848079,1.034838261,4.648050379,20.48804558,0.2386148439,0.3244605956,15.47395835
2020-01-29,0.2448879629,1.69846943,0.3323374569,0.2221697114,26.7251141,7.347863122,7.537651667,3338.802487,1.904111715,287.5670443,5674.298989,17.44346758,0.3620350058,12.41900357,0.8992775688,0.9175856751,1.454879384,0.1880200816,1.026913161,4.58529459,20.36227942,0.2382710957,0.3223705269,15.23528801
2020-01-30,0.2452122122,1.700718325,0.3335131374,0.2225791256,26.72494325,7.37868058,7.594222044,3338.322649,1.906032129,288.8795922,5681.812169,17.48363148,0.3631592732,12.4641372,0.900468277,0.9191419323,1.460645725,0.1883058071,1.036977913,4.581030033,20.38493765,0.2386356197,0.3236065571,15.32980891
2020-01-31,0.2448579818,1.69826149,0.3335822683,0.2220102839,26.65940222,7.395935322,7.619980599,3340.641683,1.901934355,290.6758062,5676.297734,17.54162567,0.3650097951,12.44828747,0.8991674721,0.9176613747,1.462818356,0.1870714977,1.038736505,4.598628752,20.38886377,0.2373677767,0.3234892346,15.47406909
2020-02-01,0.2448579818,1.69826149,0.3335822683,0.2220102839,26.65940222,7.395935322,7.619980599,3340.641683,1.901934355,290.6758062,5676.297734,17.54162567,0.3650097951,12.44828747,0.8991674721,0.9176613747,1.462818356,0.1870714977,1.038736505,4.598628752,20.38886377,0.2373677767,0.3234892346,15.47406909
2020-02-02,0.2448579818,1.69826149,0.3335822683,0.2220102839,26.65940222,7.395935322,7.619980599,3340.641683,1.901934355,290.6758062,5676.297734,17.54162567,0.3650097951,12.44828747,0.8991674721,0.9176613747,1.462818356,0.1870714977,1.038736505,4.598628752,20.38886377,0.2373677767,0.3234892346,15.47406909
